,id_EXIST,lang,tweet,hard_label_task1,soft_label_task1,original
200001,200001,en,ff lay blame bastard murder novel idea know <url>,1,0.5,"FFS! How about laying the blame on the bastard who murdered her? Novel idea, I know. https://t.co/GI5B45THvJ"
200002,200002,en,write uni essay local pub coffee random old man keep ask drunk question try concentrate amp end <left_double_quote> good luck end get marry use anyway <left_double_quote> <hashtag_start> everyday sexism <hashtag_end> alive well upside face,1,0.8333333333333334,"Writing a uni essay in my local pub with a coffee. Random old man keeps asking me drunk questions when I'm trying to concentrate &amp; ends with ""good luck, but you'll just end up getting married and not use it anyway"". #EverydaySexism is alive and well 🙃"
200003,200003,en,<noun> 2021 1921 dont appreciate two ride team member look behind ask man behind many party impressed <hashtag_start> everyday sexism <hashtag_end>,1,0.6666666666666666,@UniversalORL it is 2021 not 1921. I dont appreciate that on two rides by myself your team member looked behind me and asked the man behind how many in my party. Not impressed #everydaysexism
200004,200004,en,<org> unacceptable use title men interview fact senior angus <hashtag_start> everyday sexism <hashtag_end> <noun> <url>,1,0.5,"@GMB this is unacceptable. Use her title as you did for all the men interviewed. She is, in fact, senior to Angus #everydaysexism @TheWomensOrg https://t.co/JZF3a5E4eX"
200005,200005,en,<left_single_quote> make hard target <right_single_quote> basically boil <left_single_quote> make sure target someone else <right_single_quote> upside face <url>,1,0.5,‘Making yourself a harder target’ basically boils down to ‘make sure they target someone else’ 🙃 https://t.co/VOpu09YAj6
200006,200006,en,accord customer plenty time go spent stirling coin want pay ferry <left_double_quote> like woman sure <left_double_quote> <hashtag_start> everyday sexism <hashtag_end> retail,1,1.0,"According to a customer I have plenty of time to go spent the Stirling coins he wants to pay me with, in Derry. ""Just like any other woman, I'm sure of it."" #EveryDaySexism in retail."
200007,200007,en,book drink beer sorry break drink wine apparently <eclipses> <eclipses> <hashtag_start> everyday sexism <hashtag_end> alive well <verb> <org> <verb> <url>,1,1.0,"So only 'blokes' drink beer? Sorry, but if you aren't a 'bloke' you drink wine apparently....... #EverydaySexism alive and well in @HayesAmbleside @MelissaCole @Shinybiscuit https://t.co/AP4GeusmOX"
200008,200008,en,new shelf week look forward read book <prop> <noun> <nor> <hashtag_start> read pleasure <hashtag_end> <hashtag_start> new book <hashtag_end> <url>,0,0.16666666666666666,New to the shelves this week - looking forward to reading these books @malorieblackman @jenlynnbarnes  @EverydaySexism #readingforpleasure #newbooks https://t.co/Q3IfmlSBCB
200009,200009,en,<hashtag_start> everyday sexism <hashtag_end> amp need good <url>,1,0.5,#EverydaySexism We can &amp; need to do better https://t.co/RePR48B0xv
200010,200010,en,guess <right_single_quote> fairly normal neanderthal <url>,0,0.16666666666666666,I guess that’s fairly normal for a Neanderthal https://t.co/UkFl8tNH4F
200011,200011,en,<hashtag_start> everyday sexism <hashtag_end> mean woman usually end low pay support work start change traditionalist notice fairness previously bother <url>,1,1.0,"#EverydaySexism means women usually end up in lower paid support work; when that starts to change, traditionalists notice unfairness that previously hasn't bothered them at all. https://t.co/YOLJ9V8E6Z"
200012,200012,en,actually email liz truss today live dream <hashtag_start> everyday sexism http <hashtag_end> co w1ykdkhau8,1,0.5,I actually had an email from Liz Truss today. She's living the dream. #everydaysexismhttps://t.co/W1YKdKhAu8
200013,200013,en,<prop> <org> <org> <noun> <nor> <prop> <org> hi or la interesting piece 2 policy response believe early life prosecution punishment way go boy young men offend girl woman see zero tolerance approach institute,1,0.6666666666666666,"@orlamuldoon @NWCI @IrishRunnerMag @ReclaimTS @EverydaySexism @SAFEIreland @Womens_Aid Hi Orla. Interesting piece. On No 2. As a policy response, do you believe early-in-life prosecution and punishment is the way to go with boys, young men when they offend against girls and women? Is this how you see by a zero tolerance approach being instituted?"
200014,200014,en,course let start call gender pay gap <left_double_quote> link ons page alone example feminism need like add 164 e moi reaction 30 laugh really issue <hashtag_start> everyday sexism <hashtag_end> 4 5 <url>,1,0.5,"For yourself of course. Let's start with the so called gender pay gap"" with a link to an ONS page. This  alone is an example of why feminism is needed. I'd like to add that out of 164 emoji reactions, only 30 were laughing so it really is an issue #everydaysexism 4/5 https://t.co/J3W3lqD86k"
200015,200015,en,<noun> <org> <hashtag_start> everyday sexism <hashtag_end> dear god corvette capable identify sexism literally anywhere good see <noun> develop female grand simpson <url>,1,1.0,@MarkPaulTimes @colettebrowne #EveryDaySexism Dear God.Colette is capable of identifying sexism literally anywhere.Good to see @SocDems developing their own female Grandpa Simpson https://t.co/7bEDkdsDX4
200016,200016,en,<x> <noun> <prop> <nor> <prop> <noun> woman home cooking family,1,1.0,@RMatthewsPsyEdu @ITV @jamesmartinchef @EverydaySexism @CCriadoPerez @ginarippon1 The women will all be at home cooking for the family
